Timestamp,Emotion
2025-11-03 01:13:06,Neutral
2025-11-03 01:13:06,Fear
2025-11-03 01:13:06,Fear
2025-11-03 01:13:07,Surprise
2025-11-03 01:13:07,Surprise
2025-11-03 01:13:07,Surprise
2025-11-03 01:13:07,Happy
2025-11-03 01:13:07,Happy
2025-11-03 01:13:07,Happy
2025-11-03 01:13:08,Happy
2025-11-03 01:13:08,Happy
2025-11-03 01:13:08,Happy
2025-11-03 01:13:08,Surprise
2025-11-03 01:13:08,Happy
2025-11-03 01:13:09,Surprise
2025-11-03 01:13:09,Happy
2025-11-03 01:13:09,Happy
2025-11-03 01:13:09,Happy
2025-11-03 01:13:09,Happy
2025-11-03 01:13:10,Happy
2025-11-03 01:13:10,Happy
2025-11-03 01:13:10,Happy
2025-11-03 01:13:10,Happy
2025-11-03 01:13:11,Happy
2025-11-03 01:13:11,Happy
2025-11-03 01:13:11,Happy
2025-11-03 01:13:12,Happy
2025-11-03 01:13:12,Happy
2025-11-03 01:13:12,Happy
2025-11-03 01:13:12,Happy
2025-11-03 01:13:12,Happy
2025-11-03 01:13:13,Happy
2025-11-03 01:13:13,Happy
2025-11-03 01:13:13,Happy
2025-11-03 01:13:13,Happy
2025-11-03 01:13:13,Neutral
2025-11-03 01:13:14,Happy
2025-11-03 01:13:14,Neutral
2025-11-03 01:13:14,Happy
2025-11-03 01:13:14,Neutral
2025-11-03 01:13:14,Happy
2025-11-03 01:13:14,Neutral
2025-11-03 01:13:15,Happy
2025-11-03 01:13:15,Neutral
2025-11-03 01:13:15,Happy
2025-11-03 01:13:15,Happy
2025-11-03 01:13:15,Neutral
2025-11-03 01:13:15,Neutral
2025-11-03 01:13:16,Neutral
2025-11-03 01:13:16,Neutral
2025-11-03 01:13:16,Neutral
2025-11-03 01:13:16,Sad
2025-11-03 01:13:16,Neutral
2025-11-03 01:13:17,Neutral
2025-11-03 01:13:17,Neutral
2025-11-03 01:13:17,Neutral
2025-11-03 01:13:17,Neutral
2025-11-03 01:13:18,Neutral
2025-11-03 01:13:19,Neutral
2025-11-03 01:13:19,Neutral
2025-11-03 01:13:19,Neutral
2025-11-03 01:13:20,Neutral
2025-11-03 01:13:20,Neutral
2025-11-03 01:13:20,Sad
2025-11-03 01:13:20,Sad
2025-11-03 01:13:20,Neutral
2025-11-03 01:13:21,Sad
2025-11-03 01:13:21,Neutral
2025-11-03 01:13:21,Neutral
2025-11-03 01:13:21,Neutral
2025-11-03 01:13:21,Neutral
2025-11-03 01:13:22,Sad
2025-11-03 01:13:22,Neutral
2025-11-03 01:13:22,Neutral
2025-11-03 01:13:22,Happy
2025-11-03 01:13:22,Fear
2025-11-03 01:13:22,Angry
2025-11-03 01:13:23,Happy
2025-11-03 01:13:23,Sad
2025-11-03 01:13:23,Fear
2025-11-03 01:13:23,Fear
2025-11-03 01:13:23,Angry
2025-11-03 01:13:24,Fear
2025-11-03 01:13:24,Angry
2025-11-03 01:13:24,Fear
2025-11-03 01:13:24,Fear
2025-11-03 01:13:24,Sad
2025-11-03 01:13:25,Angry
2025-11-03 01:13:25,Sad
2025-11-03 01:13:25,Sad
2025-11-03 01:13:25,Sad
2025-11-03 01:13:25,Sad
2025-11-03 01:13:26,Neutral
2025-11-03 01:13:26,Fear
2025-11-03 01:13:26,Fear
2025-11-03 01:13:26,Sad
2025-11-03 01:13:26,Sad
2025-11-03 01:13:26,Sad
2025-11-03 01:13:27,Sad
2025-11-03 01:13:27,Fear
2025-11-19 10:40:24,Neutral
2025-11-19 10:40:24,Neutral
2025-11-19 10:40:24,Neutral
2025-11-19 10:40:24,Neutral
2025-11-19 10:40:25,Happy
2025-11-19 10:40:25,Neutral
2025-11-19 10:40:25,Neutral
2025-11-19 10:40:25,Happy
2025-11-19 10:40:25,Neutral
2025-11-19 10:40:26,Neutral
2025-11-19 10:40:26,Neutral
2025-11-19 10:40:26,Neutral
